,sample,group,dataset,Group
1,GSM1341860,CG,GSE55696,GSE55696CG
2,GSM1341861,CG,GSE55696,GSE55696CG
3,GSM1341862,CG,GSE55696,GSE55696CG
4,GSM1341863,CG,GSE55696,GSE55696CG
5,GSM1341864,CG,GSE55696,GSE55696CG
6,GSM1341865,CG,GSE55696,GSE55696CG
7,GSM1341866,CG,GSE55696,GSE55696CG
8,GSM1341867,CG,GSE55696,GSE55696CG
9,GSM1341868,CG,GSE55696,GSE55696CG
10,GSM1341869,CG,GSE55696,GSE55696CG
11,GSM1341870,CG,GSE55696,GSE55696CG
12,GSM1341871,CG,GSE55696,GSE55696CG
13,GSM1341872,CG,GSE55696,GSE55696CG
14,GSM1341873,CG,GSE55696,GSE55696CG
15,GSM1341874,CG,GSE55696,GSE55696CG
16,GSM1341875,CG,GSE55696,GSE55696CG
17,GSM1341876,CG,GSE55696,GSE55696CG
18,GSM1341877,CG,GSE55696,GSE55696CG
19,GSM1341878,CG,GSE55696,GSE55696CG
20,GSM1341879,LGD,GSE55696,GSE55696LGD
21,GSM1341880,LGD,GSE55696,GSE55696LGD
22,GSM1341881,LGD,GSE55696,GSE55696LGD
23,GSM1341882,LGD,GSE55696,GSE55696LGD
24,GSM1341883,LGD,GSE55696,GSE55696LGD
25,GSM1341884,LGD,GSE55696,GSE55696LGD
26,GSM1341885,LGD,GSE55696,GSE55696LGD
27,GSM1341886,LGD,GSE55696,GSE55696LGD
28,GSM1341887,LGD,GSE55696,GSE55696LGD
29,GSM1341888,LGD,GSE55696,GSE55696LGD
30,GSM1341889,LGD,GSE55696,GSE55696LGD
31,GSM1341890,LGD,GSE55696,GSE55696LGD
32,GSM1341891,LGD,GSE55696,GSE55696LGD
33,GSM1341892,LGD,GSE55696,GSE55696LGD
34,GSM1341893,LGD,GSE55696,GSE55696LGD
35,GSM1341894,LGD,GSE55696,GSE55696LGD
36,GSM1341895,LGD,GSE55696,GSE55696LGD
37,GSM1341896,LGD,GSE55696,GSE55696LGD
38,GSM1341897,LGD,GSE55696,GSE55696LGD
39,GSM1341898,HGD,GSE55696,GSE55696HGD
40,GSM1341899,HGD,GSE55696,GSE55696HGD
41,GSM1341900,HGD,GSE55696,GSE55696HGD
42,GSM1341901,HGD,GSE55696,GSE55696HGD
43,GSM1341902,HGD,GSE55696,GSE55696HGD
44,GSM1341903,HGD,GSE55696,GSE55696HGD
45,GSM1341904,HGD,GSE55696,GSE55696HGD
46,GSM1341905,HGD,GSE55696,GSE55696HGD
47,GSM1341906,HGD,GSE55696,GSE55696HGD
48,GSM1341907,HGD,GSE55696,GSE55696HGD
49,GSM1341908,HGD,GSE55696,GSE55696HGD
50,GSM1341909,HGD,GSE55696,GSE55696HGD
51,GSM1341910,HGD,GSE55696,GSE55696HGD
