,GSM4251054,GSM4251055,GSM4251056,GSM4251057,GSM4251058,GSM4251059,GSM4251060,GSM4251061,GSM4251062,GSM4251063,GSM4251064,GSM4251065,GSM4251066,GSM4251067,GSM4251068,GSM4251069,GSM4251070,GSM4251071,GSM4251072,GSM4251073,GSM4251074,GSM4251075,GSM4251076,GSM4251077,GSM4251078,GSM4251079,GSM4251080,GSM4251081,GSM4251082,GSM4251083
ABCC2,0.122540827,0.160309422,0.160114328,0.13563739,0.129895319,0.087622327,0.104470058,0,0.203288067,0.106649724,0.090966092,0.107423027,0.179507831,0.114523207,0.105683694,0.138338832,0.196968159,0.191365205,0.156238829,0.1557882,0.129376104,0.20192061,0.164556724,0.141078167,0.162551905,0.181884063,0.148497246,0.153235325,0.200251834,0.148118995
ABCD1,0.595877766,0.614212726,0.542631049,0.523394802,0.523603106,0.587568011,0.396429197,0.385068802,0.340767756,0.384798076,0.425605647,0.345341002,0.398246151,0.373118404,0.420609018,0.437244317,0.437081487,0.417168409,0.421384563,0.430032196,0.457011471,0.421626446,0.411930391,0.437112386,0.407264239,0.360480023,0.33963599,0.339791393,0.409911153,0.3718149
ABL1,0.764459011,0.778803212,0.738970472,0.708200851,0.725057993,0.786217156,0.715299182,0.729130778,0.792298382,0.812271902,0.811162701,0.793564463,0.803529366,0.799374999,0.76627369,0.77037141,0.828691047,0.82718167,0.826468364,0.835689859,0.772566339,0.76691405,0.745099524,0.760593782,0.732800899,0.786921052,0.753114961,0.712680736,0.788024186,0.77414037
ACOX2,0.194681415,0.266198576,0.2678531,0.246400307,0.217459948,0.239859198,0.419868228,0.405907004,0.325302369,0.309924262,0.348311764,0.321086665,0.324976387,0.358326301,0.462004523,0.501023199,0.183525566,0.120791899,0.131527651,0.137681144,0.192496211,0.187417408,0.187583508,0.170530054,0.201082573,0.08729924,0.055959309,0.087462323,0.102228003,0.106783164
ADA,0.593930824,0.59542379,0.583661727,0.593643421,0.597677816,0.584062872,0.581185526,0.566424371,0.434530085,0.45848908,0.457850601,0.435539226,0.442345678,0.432135655,0.471679931,0.484331929,0.435793771,0.440012814,0.460797788,0.48009851,0.448955336,0.457096507,0.411930391,0.461739386,0.433516093,0.280604915,0.246087866,0.313243983,0.307957158,0.308685819
ADAM9,0.754662784,0.765663903,0.806243497,0.766543396,0.782282417,0.781581116,0.798347284,0.825655006,0.843734745,0.801620349,0.797353837,0.811848209,0.788650683,0.821858979,0.731120389,0.770001129,0.745019651,0.71727779,0.76727349,0.752679594,0.776800599,0.791888586,0.81381332,0.764113355,0.791107797,0.766756852,0.76871437,0.737373194,0.807519595,0.804068629
ADIPOQ,0,0,0,0,0,0,0,0,0.015270017,0.014821159,0,0.016538318,0,0,0,0,0,0,0,0,0,0.032031559,0.017696678,0,0,0.030556058,0.016080038,0.130285793,0.059716809,0.034662395
ADNP2,0.561185723,0.546693444,0.548773224,0.543744306,0.555409661,0.58107757,0.406647163,0.427762539,0.649526735,0.640539935,0.640310487,0.653226403,0.63914864,0.64809315,0.436027666,0.426480811,0.645641015,0.628625917,0.646897687,0.642361105,0.624980951,0.632793175,0.656623733,0.640087316,0.630990134,0.633310051,0.621955955,0.596177321,0.626784295,0.626669593
AGAP3,0.750062636,0.755440524,0.722794573,0.702825665,0.705600944,0.741681008,0.577153826,0.567119563,0.699631701,0.718934577,0.72224828,0.721026921,0.744399159,0.721357466,0.61546211,0.630772377,0.745505557,0.762079474,0.749282791,0.752161912,0.706235686,0.701199354,0.675310196,0.707777826,0.668472922,0.730045994,0.682460205,0.673997203,0.698482309,0.702629643
AIF1,0,0,0.028936249,0,0,0.027183286,0,0,0,0,0,0,0.015038441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,0.376094588,0.386915685,0.347779412,0.351671979,0.386047954,0.403526858,0.486507512,0.495478005,0.30181532,0.336576313,0.343704656,0.303925374,0.303911075,0.281564839,0.537104825,0.534246223,0.408939598,0.410864581,0.385766683,0.386338603,0.341933879,0.32591442,0.306207878,0.323580786,0.322113059,0.290575084,0.272826608,0.301927257,0.357004319,0.333519467
AKR1C3,0.066939434,0.051636806,0.073981892,0.077785716,0.034538591,0,0.535744184,0.510917467,0.015270017,0.02830017,0.040861843,0.068807235,0.015038441,0.075609228,0.632067303,0.598482687,0.074372565,0.077437637,0.084511987,0.042001055,0.01764614,0,0,0.015911162,0.029593559,0.120945484,0.128402873,0.153235325,0.102228003,0.132931988
