,sample,group,dataset,Group
662,GSM4251054,Untreated,GSE143155,GSE143155Untreated
663,GSM4251055,Untreated,GSE143155,GSE143155Untreated
664,GSM4251056,Untreated,GSE143155,GSE143155Untreated
665,GSM4251057,H2O2_treated,GSE143155,GSE143155H2O2_treated
666,GSM4251058,H2O2_treated,GSE143155,GSE143155H2O2_treated
667,GSM4251059,H2O2_treated,GSE143155,GSE143155H2O2_treated
668,GSM4251060,Untreated,GSE143155,GSE143155Untreated
669,GSM4251061,Untreated,GSE143155,GSE143155Untreated
670,GSM4251062,Untreated,GSE143155,GSE143155Untreated
671,GSM4251063,Untreated,GSE143155,GSE143155Untreated
672,GSM4251064,Untreated,GSE143155,GSE143155Untreated
673,GSM4251065,H2O2_treated,GSE143155,GSE143155H2O2_treated
674,GSM4251066,H2O2_treated,GSE143155,GSE143155H2O2_treated
675,GSM4251067,H2O2_treated,GSE143155,GSE143155H2O2_treated
676,GSM4251068,Untreated,GSE143155,GSE143155Untreated
677,GSM4251069,Untreated,GSE143155,GSE143155Untreated
678,GSM4251070,Untreated,GSE143155,GSE143155Untreated
679,GSM4251071,Untreated,GSE143155,GSE143155Untreated
680,GSM4251072,H2O2_treated,GSE143155,GSE143155H2O2_treated
681,GSM4251073,H2O2_treated,GSE143155,GSE143155H2O2_treated
682,GSM4251074,Untreated,GSE143155,GSE143155Untreated
683,GSM4251075,Untreated,GSE143155,GSE143155Untreated
684,GSM4251076,Untreated,GSE143155,GSE143155Untreated
685,GSM4251077,H2O2_treated,GSE143155,GSE143155H2O2_treated
686,GSM4251078,H2O2_treated,GSE143155,GSE143155H2O2_treated
687,GSM4251079,Untreated,GSE143155,GSE143155Untreated
688,GSM4251080,Untreated,GSE143155,GSE143155Untreated
689,GSM4251081,Untreated,GSE143155,GSE143155Untreated
690,GSM4251082,H2O2_treated,GSE143155,GSE143155H2O2_treated
691,GSM4251083,H2O2_treated,GSE143155,GSE143155H2O2_treated
