,OxiStress,sample,group,dataset,Group
GSM4251054,0.9019917891360407,GSM4251054,Untreated,GSE143155,GSE143155Untreated
GSM4251055,0.8696893862534051,GSM4251055,Untreated,GSE143155,GSE143155Untreated
GSM4251056,0.9777259771823308,GSM4251056,Untreated,GSE143155,GSE143155Untreated
GSM4251057,1.1676418809176234,GSM4251057,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251058,1.3070987798552507,GSM4251058,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251059,0.9669924046110545,GSM4251059,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251060,0.265476969770982,GSM4251060,Untreated,GSE143155,GSE143155Untreated
GSM4251061,0.46528352277535623,GSM4251061,Untreated,GSE143155,GSE143155Untreated
GSM4251062,0.7623699190916678,GSM4251062,Untreated,GSE143155,GSE143155Untreated
GSM4251063,0.698781845775681,GSM4251063,Untreated,GSE143155,GSE143155Untreated
GSM4251064,0.6160890259755233,GSM4251064,Untreated,GSE143155,GSE143155Untreated
GSM4251065,0.8985560363502824,GSM4251065,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251066,0.8350867070644049,GSM4251066,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251067,0.8990351128086159,GSM4251067,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251068,0.10141226818568704,GSM4251068,Untreated,GSE143155,GSE143155Untreated
GSM4251069,0.11646788524330495,GSM4251069,Untreated,GSE143155,GSE143155Untreated
GSM4251070,1.0614256625733367,GSM4251070,Untreated,GSE143155,GSE143155Untreated
GSM4251071,0.9574195685739119,GSM4251071,Untreated,GSE143155,GSE143155Untreated
GSM4251072,1.0277406063530403,GSM4251072,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251073,0.9733590261030947,GSM4251073,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251074,0.9529223825078947,GSM4251074,Untreated,GSE143155,GSE143155Untreated
GSM4251075,0.9518017577599109,GSM4251075,Untreated,GSE143155,GSE143155Untreated
GSM4251076,1.1442198775315913,GSM4251076,Untreated,GSE143155,GSE143155Untreated
GSM4251077,1.0768283609821407,GSM4251077,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251078,1.425860417318506,GSM4251078,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251079,1.073705972161311,GSM4251079,Untreated,GSE143155,GSE143155Untreated
GSM4251080,1.4130673990570726,GSM4251080,Untreated,GSE143155,GSE143155Untreated
GSM4251081,0.9670627881432439,GSM4251081,Untreated,GSE143155,GSE143155Untreated
GSM4251082,1.1881537341501458,GSM4251082,H2O2_treated,GSE143155,GSE143155H2O2_treated
GSM4251083,1.1807571774783514,GSM4251083,H2O2_treated,GSE143155,GSE143155H2O2_treated
